Start Training...
Epoch 0: {'Posloss_Train': 507.1338728322279, 'Actloss_Train': 15.24407760417339, 'Direcloss_Train': 25.804718745634858, 'Laneloss_Train': 1367.222199100776, 'KLDloss_Train': 186.89137381995283, 'Loss_Train': 4998.542125727507, 'Posloss_Val': 316.99396057128905, 'Actloss_Val': 0.004743664632551372, 'Direcloss_Val': 5.058239439328512, 'Laneloss_Val': 1246.7055721028646, 'KLDloss_Val': 198.36750651041666, 'Loss_Val': 1767.130021158854}
Epoch 1: {'Posloss_Train': 300.08606975990654, 'Actloss_Train': 0.0022788294942599516, 'Direcloss_Train': 4.773225053044774, 'Laneloss_Train': 1186.8998839103135, 'KLDloss_Train': 200.34337032241308, 'Loss_Train': 3779.264056109742, 'Posloss_Val': 275.6490155029297, 'Actloss_Val': 0.0007305636264694234, 'Direcloss_Val': 4.392410888671875, 'Laneloss_Val': 1102.98837890625, 'KLDloss_Val': 211.36037740071615, 'Loss_Val': 1594.3909204101562}
Epoch 2: {'Posloss_Train': 259.1524732448911, 'Actloss_Train': 0.0005035673847481383, 'Direcloss_Train': 4.1409097933929235, 'Laneloss_Train': 1063.9161106596057, 'KLDloss_Train': 214.80961629368315, 'Loss_Train': 3383.3934014851616, 'Posloss_Val': 238.24487192789712, 'Actloss_Val': 0.00037850464733007056, 'Direcloss_Val': 3.8414022970199584, 'Laneloss_Val': 1029.1073303222656, 'KLDloss_Val': 214.63819112141928, 'Loss_Val': 1485.8321647135417}
Epoch 3: {'Posloss_Train': 226.71635984894414, 'Actloss_Train': 0.0002630053154187396, 'Direcloss_Train': 3.7207864810956406, 'Laneloss_Train': 1014.0699272411782, 'KLDloss_Train': 213.81060934386798, 'Loss_Train': 3152.537084797085, 'Posloss_Val': 215.08141255696614, 'Actloss_Val': 0.00018956315412651747, 'Direcloss_Val': 3.6561192814509074, 'Laneloss_Val': 988.1772220865886, 'KLDloss_Val': 214.6803389485677, 'Loss_Val': 1421.5952864583332}
Epoch 4: {'Posloss_Train': 205.66160368439336, 'Actloss_Train': 0.00012776022737895782, 'Direcloss_Train': 3.3964390442675394, 'Laneloss_Train': 970.0392105819395, 'KLDloss_Train': 215.02059444965133, 'Loss_Train': 2981.1420726392093, 'Posloss_Val': 198.59678029378256, 'Actloss_Val': 7.927252935284438e-05, 'Direcloss_Val': 3.254902407328288, 'Laneloss_Val': 939.7995662434896, 'KLDloss_Val': 214.87423400878907, 'Loss_Val': 1356.5255598958333}
Epoch 5: {'Posloss_Train': 194.12995675106177, 'Actloss_Train': 5.934578110332071e-05, 'Direcloss_Train': 3.110824334541423, 'Laneloss_Train': 926.8337998358195, 'KLDloss_Train': 213.74312581311938, 'Loss_Train': 2847.0414604852663, 'Posloss_Val': 187.37806030273438, 'Actloss_Val': 4.092532079084776e-05, 'Direcloss_Val': 2.975806433359782, 'Laneloss_Val': 902.9216467285156, 'KLDloss_Val': 212.0443467203776, 'Loss_Val': 1305.3198974609375}
Epoch 6: {'Posloss_Train': 187.5460880458755, 'Actloss_Train': 3.408543863843567e-05, 'Direcloss_Train': 2.9613913641680005, 'Laneloss_Train': 895.8164844896969, 'KLDloss_Train': 208.78812418688062, 'Loss_Train': 2753.5668978083054, 'Posloss_Val': 187.54542785644531, 'Actloss_Val': 2.368290056741292e-05, 'Direcloss_Val': 3.325945329666138, 'Laneloss_Val': 876.49859375, 'KLDloss_Val': 208.161147664388, 'Loss_Val': 1275.5311303710937}
Epoch 7: {'Posloss_Train': 182.42577454227728, 'Actloss_Train': 1.792099054140965e-05, 'Direcloss_Train': 2.865183307020456, 'Laneloss_Train': 871.2495647660838, 'KLDloss_Train': 205.80141474576604, 'Loss_Train': 2680.8688456900168, 'Posloss_Val': 177.36136016845703, 'Actloss_Val': 1.258849755989407e-05, 'Direcloss_Val': 2.811957394282023, 'Laneloss_Val': 857.1907076009114, 'KLDloss_Val': 203.28990458170574, 'Loss_Val': 1240.6539420572917}
Epoch 8: {'Posloss_Train': 177.6826659849026, 'Actloss_Train': 8.198236516452485e-06, 'Direcloss_Train': 2.7709327520140064, 'Laneloss_Train': 850.0500004915583, 'KLDloss_Train': 203.81989406099257, 'Loss_Train': 2617.42149977716, 'Posloss_Val': 176.87805114746095, 'Actloss_Val': 5.615550970029896e-06, 'Direcloss_Val': 2.7219918473561604, 'Laneloss_Val': 834.114571126302, 'KLDloss_Val': 202.14220947265625, 'Loss_Val': 1215.8568269856771}
Epoch 9: {'Posloss_Train': 174.07206423970678, 'Actloss_Train': 3.2890556685006626e-06, 'Direcloss_Train': 2.696224685483331, 'Laneloss_Train': 827.6497800686216, 'KLDloss_Train': 203.713394421059, 'Loss_Train': 2557.99743488491, 'Posloss_Val': 170.67006032307944, 'Actloss_Val': 1.8485384033321375e-06, 'Direcloss_Val': 2.6196542612711586, 'Laneloss_Val': 811.2891548665365, 'KLDloss_Val': 203.94590779622396, 'Loss_Val': 1188.5247786458333}
Epoch 10: {'Posloss_Train': 169.59202621767184, 'Actloss_Train': 1.0188791846075746e-06, 'Direcloss_Train': 2.607340672672195, 'Laneloss_Train': 805.2916259765625, 'KLDloss_Train': 206.22781413033505, 'Loss_Train': 2497.786506396812, 'Posloss_Val': 164.46675028483074, 'Actloss_Val': 6.691613438647437e-07, 'Direcloss_Val': 2.5391358590126036, 'Laneloss_Val': 787.8368229166666, 'KLDloss_Val': 206.66248046875, 'Loss_Val': 1161.5051928710936}
