Start Training...
[34m[1mwandb[0m: [33mWARNING[0m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")
Epoch 0: {'Posloss_Train': 430.7037987421023, 'Actloss_Train': 26.755892149567284, 'Direcloss_Train': 23.273816963970262, 'Laneloss_Train': 1254.2821423831401, 'KLDloss_Train': 270.50011560580873, 'Loss_Train': 4416.659249324926, 'Posloss_Val': 230.27187459309897, 'Actloss_Val': 0.003214531814058622, 'Direcloss_Val': 3.276444679896037, 'Laneloss_Val': 1043.3398697916666, 'KLDloss_Val': 326.6565218098958, 'Loss_Val': 3174.3751806640626}
Epoch 1: {'Posloss_Train': 220.24380226903313, 'Actloss_Train': 0.0019486217805256304, 'Direcloss_Train': 3.109621212786476, 'Laneloss_Train': 1027.1998334026978, 'KLDloss_Train': 335.00925665733797, 'Loss_Train': 3105.9910683855915, 'Posloss_Val': 207.13616353352865, 'Actloss_Val': 0.0010457716851184765, 'Direcloss_Val': 2.916247838338216, 'Laneloss_Val': 999.3907535807292, 'KLDloss_Val': 344.54036295572917, 'Loss_Val': 3002.513639322917}
Epoch 2: {'Posloss_Train': 198.7280279069939, 'Actloss_Train': 0.0007341352899655725, 'Direcloss_Train': 2.7404803321665567, 'Laneloss_Train': 980.0144090076421, 'KLDloss_Train': 351.9915299383586, 'Loss_Train': 2933.67791133599, 'Posloss_Val': 190.24948872884116, 'Actloss_Val': 0.0005359346341962615, 'Direcloss_Val': 2.662588249047597, 'Laneloss_Val': 949.2473563639323, 'KLDloss_Val': 356.02398478190105, 'Loss_Val': 2840.1677766927082}
Epoch 3: {'Posloss_Train': 185.80848345660525, 'Actloss_Train': 0.0004158421271990816, 'Direcloss_Train': 2.4771620279190523, 'Laneloss_Train': 934.3571765054793, 'KLDloss_Train': 358.69925623132076, 'Loss_Train': 2793.7754823825503, 'Posloss_Val': 181.72542032877604, 'Actloss_Val': 0.00038561409688554705, 'Direcloss_Val': 2.490931771596273, 'Laneloss_Val': 909.9235587565104, 'KLDloss_Val': 356.32715983072916, 'Loss_Val': 2727.403681640625}
Epoch 4: {'Posloss_Train': 178.52218735458067, 'Actloss_Train': 0.00027186785057544923, 'Direcloss_Train': 2.307172364036509, 'Laneloss_Train': 898.9497574159763, 'KLDloss_Train': 357.83758872627413, 'Loss_Train': 2693.2145078518247, 'Posloss_Val': 173.46137247721353, 'Actloss_Val': 0.000237529676912042, 'Direcloss_Val': 2.1581452147165936, 'Laneloss_Val': 878.9088627115885, 'KLDloss_Val': 353.86352986653645, 'Loss_Val': 2630.75337890625}
Epoch 5: {'Posloss_Train': 172.8506207050093, 'Actloss_Train': 0.00014919943678006842, 'Direcloss_Train': 2.116890520057422, 'Laneloss_Train': 870.4368640464425, 'KLDloss_Train': 357.2834874095533, 'Loss_Train': 2613.034994855023, 'Posloss_Val': 168.2632578531901, 'Actloss_Val': 0.00010730734114379932, 'Direcloss_Val': 2.0898967456817625, 'Laneloss_Val': 852.6872692871094, 'KLDloss_Val': 357.56467488606773, 'Loss_Val': 2559.299910481771}
Epoch 6: {'Posloss_Train': 167.6680265081009, 'Actloss_Train': 6.835447158859793e-05, 'Direcloss_Train': 2.0248784570885983, 'Laneloss_Train': 844.8890028575922, 'KLDloss_Train': 360.38643897139787, 'Loss_Train': 2542.6682833473155, 'Posloss_Val': 162.84544342041016, 'Actloss_Val': 4.095710992260138e-05, 'Direcloss_Val': 1.9889554071426392, 'Laneloss_Val': 826.7146272786458, 'KLDloss_Val': 361.9254508463542, 'Loss_Val': 2487.7627685546877}
Epoch 7: {'Posloss_Train': 163.15968164021538, 'Actloss_Train': 2.5637186841081437e-05, 'Direcloss_Train': 1.928721720340268, 'Laneloss_Train': 820.5144960544253, 'KLDloss_Train': 364.98772097593985, 'Loss_Train': 2478.0903250675074, 'Posloss_Val': 158.15213338216145, 'Actloss_Val': 1.2407299209371558e-05, 'Direcloss_Val': 1.8813562059402467, 'Laneloss_Val': 803.5614697265624, 'KLDloss_Val': 371.85435791015624, 'Loss_Val': 2427.540001627604}
Epoch 8: {'Posloss_Train': 158.10598596150444, 'Actloss_Train': 6.03166861301872e-06, 'Direcloss_Train': 1.8486701846122742, 'Laneloss_Train': 795.0956422946597, 'KLDloss_Train': 376.0273733459063, 'Loss_Train': 2412.47759231465, 'Posloss_Val': 153.03364145914713, 'Actloss_Val': 2.4064377013625443e-06, 'Direcloss_Val': 1.7504633792241415, 'Laneloss_Val': 775.2341642252604, 'KLDloss_Val': 380.1957759602865, 'Loss_Val': 2354.4512418619793}
Epoch 9: {'Posloss_Train': 153.72621121502561, 'Actloss_Train': 1.0136788018194955e-06, 'Direcloss_Train': 1.8205342968838327, 'Laneloss_Train': 768.538163972381, 'KLDloss_Train': 387.1727047094563, 'Loss_Train': 2347.3880619330694, 'Posloss_Val': 148.9542616780599, 'Actloss_Val': 3.353754070190007e-07, 'Direcloss_Val': 1.7104603544871013, 'Laneloss_Val': 752.5427766927083, 'KLDloss_Val': 391.72235717773435, 'Loss_Val': 2298.4742366536457}
Epoch 10: {'Posloss_Train': 148.81659398942986, 'Actloss_Train': 7.960619224214778e-08, 'Direcloss_Train': 1.7651226064502792, 'Laneloss_Train': 741.7273694748847, 'KLDloss_Train': 397.5792719693792, 'Loss_Train': 2279.2758801351456, 'Posloss_Val': 144.1271759033203, 'Actloss_Val': 6.3578280181294154e-09, 'Direcloss_Val': 1.6805060036977133, 'Laneloss_Val': 720.46666015625, 'KLDloss_Val': 406.2241251627604, 'Loss_Val': 2222.2346028645834}
Epoch 11: {'Posloss_Train': 144.46251883282758, 'Actloss_Train': 2.0001556741962664e-09, 'Direcloss_Train': 1.7289887522691048, 'Laneloss_Train': 714.9975866535366, 'KLDloss_Train': 408.0754450855639, 'Loss_Train': 2213.6119495366243, 'Posloss_Val': 140.23864278157552, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.701573332150777, 'Laneloss_Val': 697.18646484375, 'KLDloss_Val': 414.0775651041667, 'Loss_Val': 2164.0678515625}
Epoch 12: {'Posloss_Train': 140.42669375630834, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.7504570488161688, 'Laneloss_Train': 690.2522103738464, 'KLDloss_Train': 415.2373509759071, 'Loss_Train': 2151.580328410104, 'Posloss_Val': 136.24400594075522, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.818028254508972, 'Laneloss_Val': 674.601748046875, 'KLDloss_Val': 418.29172892252603, 'Loss_Val': 2105.1434033203127}
Epoch 13: {'Posloss_Train': 137.09795937762163, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.7149431193434952, 'Laneloss_Train': 667.6641673657718, 'KLDloss_Train': 421.19609192713796, 'Loss_Train': 2096.0331629810717, 'Posloss_Val': 133.2487528483073, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.650367382367452, 'Laneloss_Val': 650.4597574869791, 'KLDloss_Val': 430.3910823567708, 'Loss_Val': 2050.7604345703126}
Epoch 14: {'Posloss_Train': 133.14685278770907, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.6987373840888875, 'Laneloss_Train': 643.6756108431208, 'KLDloss_Train': 427.923812661395, 'Loss_Train': 2035.5992788020396, 'Posloss_Val': 129.9402648925781, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.6967578975359598, 'Laneloss_Val': 626.7346044921875, 'KLDloss_Val': 431.66833740234375, 'Loss_Val': 1990.7611848958334}
Epoch 15: {'Posloss_Train': 129.02848362762657, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.7419539982040457, 'Laneloss_Train': 620.196268376088, 'KLDloss_Train': 435.12072159939964, 'Loss_Train': 1975.8087838192114, 'Posloss_Val': 126.85931559244791, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.739853967030843, 'Laneloss_Val': 602.2030916341146, 'KLDloss_Val': 439.312080078125, 'Loss_Val': 1933.2393383789063}
Epoch 16: {'Posloss_Train': 124.64764811368596, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.7631110700984929, 'Laneloss_Train': 597.162151362272, 'KLDloss_Train': 444.3496840304176, 'Loss_Train': 1916.8528466960727, 'Posloss_Val': 119.90025146484375, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.731121261914571, 'Laneloss_Val': 582.5845060221354, 'KLDloss_Val': 453.66513997395833, 'Loss_Val': 1873.3337052408854}
Epoch 17: {'Posloss_Train': 120.39106640399703, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.8026991474548442, 'Laneloss_Train': 574.1089928134176, 'KLDloss_Train': 455.82461517129167, 'Loss_Train': 1859.4972562853923, 'Posloss_Val': 119.2327252705892, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.809833201567332, 'Laneloss_Val': 562.3117797851562, 'KLDloss_Val': 454.93168090820313, 'Loss_Val': 1830.8301513671875}
Epoch 18: {'Posloss_Train': 116.10954581651112, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.773007511292528, 'Laneloss_Train': 548.6098153543152, 'KLDloss_Train': 464.19241937214895, 'Loss_Train': 1795.5270303815803, 'Posloss_Val': 115.77865610758464, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.704820073445638, 'Laneloss_Val': 530.7827787272136, 'KLDloss_Val': 468.1455000813802, 'Loss_Val': 1760.4577490234376}
Epoch 19: {'Posloss_Train': 112.38652425164344, 'Actloss_Train': 0.0, 'Direcloss_Train': 1.7856271982993055, 'Laneloss_Train': 528.1337793337419, 'KLDloss_Train': 470.23128698976245, 'Loss_Train': 1742.7149195319055, 'Posloss_Val': 111.74803146362305, 'Actloss_Val': 0.0, 'Direcloss_Val': 1.6999375557899474, 'Laneloss_Val': 524.2673138427734, 'KLDloss_Val': 474.37726236979165, 'Loss_Val': 1734.415323079427}
