Start Training...
[34m[1mwandb[0m: [33mWARNING[0m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")
Epoch 0: {'Posloss_Train': 504.20747037541946, 'Actloss_Train': 27.842831173366335, 'Direcloss_Train': 21.93796225362176, 'Laneloss_Train': 1363.8428840381187, 'KLDloss_Train': 286.7012179457901, 'Loss_Train': 4937.647061136745, 'Posloss_Val': 312.15136372884115, 'Actloss_Val': 0.006592362597584725, 'Direcloss_Val': 4.568783706029256, 'Laneloss_Val': 1247.8467032877604, 'KLDloss_Val': 313.5372859700521, 'Loss_Val': 3905.6428841145835}
Epoch 1: {'Posloss_Train': 294.2242951873165, 'Actloss_Train': 0.004076283461032998, 'Direcloss_Train': 4.339117114175886, 'Laneloss_Train': 1186.225819632511, 'KLDloss_Train': 312.42357384598495, 'Loss_Train': 3709.9038061359583, 'Posloss_Val': 270.22822937011716, 'Actloss_Val': 0.0014194577792659402, 'Direcloss_Val': 4.071348603566488, 'Laneloss_Val': 1097.15541015625, 'KLDloss_Val': 330.1866015625, 'Loss_Val': 3444.389833984375}
Epoch 2: {'Posloss_Train': 256.1236406876737, 'Actloss_Train': 0.0007298895167249361, 'Direcloss_Train': 3.7675136527759117, 'Laneloss_Train': 1052.412977180225, 'KLDloss_Train': 345.7108765672517, 'Loss_Train': 3305.9442097708684, 'Posloss_Val': 238.39998474121094, 'Actloss_Val': 0.00045638731797225773, 'Direcloss_Val': 3.3394718742370606, 'Laneloss_Val': 1016.7785510253906, 'KLDloss_Val': 349.9584830729167, 'Loss_Val': 3165.4762141927085}
Epoch 3: {'Posloss_Train': 223.134973461996, 'Actloss_Train': 0.0003268722452439333, 'Direcloss_Train': 3.109643495322874, 'Laneloss_Train': 1000.5932193218462, 'KLDloss_Train': 355.2379561046626, 'Loss_Train': 3074.4552788446413, 'Posloss_Val': 205.03577718098958, 'Actloss_Val': 0.00019079647046358635, 'Direcloss_Val': 2.85292387008667, 'Laneloss_Val': 972.0263993326823, 'KLDloss_Val': 364.17509033203123, 'Loss_Val': 2949.1365755208335}
Epoch 4: {'Posloss_Train': 198.72296408838875, 'Actloss_Train': 0.00016360724798107564, 'Direcloss_Train': 2.666126243620111, 'Laneloss_Train': 956.8488030145633, 'KLDloss_Train': 365.38033402206116, 'Loss_Train': 2893.945925309354, 'Posloss_Val': 189.73356282552083, 'Actloss_Val': 0.00014822614922498664, 'Direcloss_Val': 2.5298321374257404, 'Laneloss_Val': 930.4910518391927, 'KLDloss_Val': 363.65245442708334, 'Loss_Val': 2804.2725423177085}
Epoch 5: {'Posloss_Train': 187.04489084538199, 'Actloss_Train': 0.0001259020193796972, 'Direcloss_Train': 2.4029763756982434, 'Laneloss_Train': 917.7611432171508, 'KLDloss_Train': 363.1890546555487, 'Loss_Train': 2767.6994817336936, 'Posloss_Val': 181.50540252685548, 'Actloss_Val': 0.00010992191673722118, 'Direcloss_Val': 2.3755821784337363, 'Laneloss_Val': 894.8073168945313, 'KLDloss_Val': 360.6000797526042, 'Loss_Val': 2698.311979166667}
Epoch 6: {'Posloss_Train': 179.50478583214266, 'Actloss_Train': 9.300392808874322e-05, 'Direcloss_Train': 2.210187338742634, 'Laneloss_Train': 884.9370743924339, 'KLDloss_Train': 360.8060778931483, 'Loss_Train': 2670.5066106399436, 'Posloss_Val': 174.1330209350586, 'Actloss_Val': 7.482198821283721e-05, 'Direcloss_Val': 2.0992388399442037, 'Laneloss_Val': 863.5829093424479, 'KLDloss_Val': 360.6899226888021, 'Loss_Val': 2606.142177734375}
Epoch 7: {'Posloss_Train': 173.545591981619, 'Actloss_Train': 5.535826460269261e-05, 'Direcloss_Train': 2.0233537614745583, 'Laneloss_Train': 857.3458135208027, 'KLDloss_Train': 361.20975079632444, 'Loss_Train': 2591.50228574612, 'Posloss_Val': 172.75514455159507, 'Actloss_Val': 4.12988395934614e-05, 'Direcloss_Val': 1.9213613073031108, 'Laneloss_Val': 837.3628983561198, 'KLDloss_Val': 361.1020654296875, 'Loss_Val': 2548.218818359375}
Epoch 8: {'Posloss_Train': 168.75568528143353, 'Actloss_Train': 2.8107374162683123e-05, 'Direcloss_Train': 1.96876940151189, 'Laneloss_Train': 832.499548175991, 'KLDloss_Train': 364.02108160441355, 'Loss_Train': 2524.001175643614, 'Posloss_Val': 165.95120463053385, 'Actloss_Val': 1.2388225080333844e-05, 'Direcloss_Val': 1.977675298055013, 'Laneloss_Val': 820.0220760091146, 'KLDloss_Val': 367.3483085123698, 'Loss_Val': 2489.5008024088543}
Epoch 9: {'Posloss_Train': 163.92769981230666, 'Actloss_Train': 1.0719231265593004e-05, 'Direcloss_Train': 1.92318878877883, 'Laneloss_Train': 809.013037969602, 'KLDloss_Train': 369.59332224186636, 'Loss_Train': 2460.4567264838506, 'Posloss_Val': 159.91881205240887, 'Actloss_Val': 4.5315414953014014e-06, 'Direcloss_Val': 1.8345873030026754, 'Laneloss_Val': 789.0654353841146, 'KLDloss_Val': 374.0024698893229, 'Loss_Val': 2406.6419303385414}
Epoch 10: {'Posloss_Train': 159.52728117872405, 'Actloss_Train': 3.366661507141928e-06, 'Direcloss_Train': 1.8492610158536258, 'Laneloss_Train': 784.4482415730521, 'KLDloss_Train': 378.34324389976143, 'Loss_Train': 2398.0264888481806, 'Posloss_Val': 156.44387827555337, 'Actloss_Val': 1.988410577477377e-06, 'Direcloss_Val': 1.75819180727005, 'Laneloss_Val': 767.6032633463542, 'KLDloss_Val': 383.4086385091146, 'Loss_Val': 2354.444554036458}
